# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 331.707854
flt:plate_T_C 373.206950
flt:plate_Q_kW 0.853692
flt:cool_Thigh_C 55.952981
flt:cool_Tlow_C 12.521902
flt:air_psig 20.000000
flt:water_gph 4.000000
flt:standoff_in 0.228000
flt:oxygen_scfh 12.460938
flt:fuel_scfh 7.593406
flt:flow_scfh 20.054344
flt:ratio_fto 0.609377

## End Configuration ##
#: Wed Mar 22 17:09:12 2017
-7.601415	-3.338642
-9.549290	-3.913813
-9.536340	-3.906864
-9.539183	-3.857591
-9.395784	-3.751780
-9.205324	-3.754622
-8.998440	-3.730618
-8.801347	-3.671869
-8.597304	-3.627649
-8.404634	-3.543000
-8.201539	-3.476670
-8.005709	-3.472564
-7.798508	-3.454245
-7.597625	-3.383493
-7.403374	-3.338958
-7.193647	-3.236305
-6.999396	-3.188927
-6.796302	-3.141233
-6.604262	-3.092275
-6.402431	-3.009206
-6.204074	-2.923609
-5.995610	-2.827273
-5.806414	-2.770104
-5.605846	-2.772315
-5.392960	-2.705353
-5.202184	-2.658291
-4.993720	-2.567325
-4.801048	-2.512051
-4.604587	-2.464988
-4.403704	-2.438772
-4.199661	-2.381918
-4.008254	-2.305166
-3.796631	-2.244522
-3.601433	-2.135868
-3.408130	-2.111231
-3.202509	-2.028477
-3.011101	-1.994365
-2.798846	-1.888238
-2.605228	-1.825067
-2.397395	-1.749262
-2.211989	-1.699357
-1.995944	-1.639976
-1.816539	-1.576173
-1.593861	-1.501632
-1.410982	-1.431196
-1.195885	-1.397400
-0.996580	-1.295379
-0.806120	-1.257476
-0.603026	-1.131134
-0.404353	-1.040168
-0.199363	-0.864553
-0.005745	-0.683568
0.205904	-0.384770
0.383437	-0.201574
0.603301	0.017315
0.795997	0.175894
0.997538	0.266556
1.198447	0.337317
1.397145	0.347425
1.589209	0.370802
1.799280	0.388492
1.989448	0.469993
2.189410	0.465254
2.407694	0.519272
2.592176	0.479154
2.798456	0.457673
2.993047	0.516429
3.197432	0.566973
3.391391	0.577397
3.605568	0.583083
3.798580	0.555284
3.998857	0.528117
4.200399	0.602353
4.386777	0.634890
4.600006	0.645315
4.791754	0.640892
4.999929	0.609934
5.201787	0.583715
5.396694	0.663952
5.589074	0.682906
5.798196	0.687645
5.996894	0.692699
6.192750	0.623834
6.404399	0.638681
6.597095	0.688276
6.797057	0.739451
6.995123	0.723025
7.197296	0.711968
7.391256	0.669639
7.601326	0.686381
7.794654	0.742294
7.988614	0.765987
8.196157	0.780834
8.390432	0.716707
8.598291	0.720814
8.794778	0.696805
8.996951	0.770409
9.185856	0.780202
9.398138	0.768514
9.590834	0.735661
9.804695	0.740715
9.984123	0.740715
9.801220	0.779570
9.586727	0.800735
9.391504	0.759353
9.190910	0.747665
8.993160	0.717023
8.799832	0.753035
8.585655	0.749560
8.401173	0.803578
8.183520	0.715759
8.001249	0.735977
7.789599	0.695858
7.596903	0.692383
7.397573	0.734713
7.191610	0.719234
6.990701	0.705651
6.791687	0.679747
6.591093	0.687013
6.401556	0.649421
6.208228	0.719550
5.988365	0.679115
5.799460	0.666164
5.591601	0.667111
5.393851	0.638681
5.192626	0.630468
5.003720	0.650369
4.791754	0.639313
4.597795	0.605512
4.393095	0.620043
4.187131	0.557180
4.007387	0.577713
3.800791	0.593192
