# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 341.243223
flt:plate_T_C 282.757756
flt:plate_Q_kW 1.290279
flt:cool_Thigh_C 52.437134
flt:cool_Tlow_C 16.440109
flt:air_psig 20.000000
flt:water_gph 7.700000
flt:standoff_in 0.228000
flt:oxygen_scfh 14.531250
flt:fuel_scfh 7.968406
flt:flow_scfh 22.499656
flt:ratio_fto 0.548363

## End Configuration ##
#: Wed Apr 19 16:49:31 2017
-7.010451	-3.610277
-9.156999	-4.308000
-9.171844	-4.286521
-9.160473	-4.278625
-9.135521	-4.288733
-9.095407	-4.298840
-9.005388	-4.294418
-8.804189	-4.214191
-8.600147	-4.128594
-8.401158	-4.061949
-8.215120	-4.008885
-7.998444	-3.941293
-7.797876	-3.918551
-7.602363	-3.834533
-7.392319	-3.761255
-7.205965	-3.683239
-7.000028	-3.621016
-6.798197	-3.576796
-6.609632	-3.523733
-6.393903	-3.434030
-6.197125	-3.371491
-6.007297	-3.290000
-5.799781	-3.226829
-5.616901	-3.157026
-5.398329	-3.103646
-5.205027	-3.048372
-5.008565	-2.969408
-4.794415	-2.877178
-4.609009	-2.828853
-4.412548	-2.757785
-4.198714	-2.705038
-4.015834	-2.642498
-3.793157	-2.549637
-3.608066	-2.492783
-3.405287	-2.386024
-3.203456	-2.320327
-3.002888	-2.254313
-2.807374	-2.182614
-2.596384	-2.102071
-2.412872	-2.042375
-2.197144	-1.947303
-2.012053	-1.897713
-1.803905	-1.800746
-1.597967	-1.747998
-1.405296	-1.675036
-1.205676	-1.590071
-0.997528	-1.491209
-0.812121	-1.419510
-0.602078	-1.262214
-0.406880	-1.097338
-0.208523	-0.826019
-0.001323	-0.555647
0.195796	-0.296962
0.400812	-0.056597
0.602353	0.117454
0.799787	0.244444
0.995326	0.369538
1.194972	0.432717
1.395882	0.497792
1.598370	0.511691
1.791066	0.529381
1.989133	0.570447
2.200466	0.595719
2.397585	0.621307
2.597231	0.646578
2.801931	0.631731
2.987045	0.669323
3.204065	0.689540
3.387600	0.689856
3.594196	0.758721
3.804266	0.742926
3.990960	0.743874
4.196608	0.783361
4.392147	0.758089
4.591793	0.804526
4.804390	0.832640
4.985714	0.792206
5.195153	0.845276
5.405539	0.853805
5.586231	0.832640
5.803883	0.870548
5.995631	0.879393
6.197172	0.871180
6.403451	0.900558
6.598675	0.896135
6.796425	0.898663
7.003021	0.907823
7.188135	0.912878
7.403892	0.930568
7.591218	0.933411
7.801603	0.962789
7.999986	0.915089
8.191734	0.949838
8.393907	0.961526
8.601766	0.968475
8.791303	0.975425
8.999478	0.995010
9.192490	0.935938
9.398454	0.971950
9.593677	0.971002
9.796481	0.981111
9.990757	1.031654
9.800272	1.020282
9.586095	0.944151
9.391820	0.982375
9.196596	0.953944
8.996003	0.979848
8.809625	0.989956
8.598607	0.971318
8.398330	0.941624
8.196472	0.940677
7.993352	0.910667
7.793390	0.959630
7.603221	0.963421
7.392203	0.933727
7.203930	0.880972
6.986910	0.858544
6.796741	0.886658
6.602149	0.911930
6.397766	0.921723
6.194645	0.912246
6.001001	0.869916
5.791563	0.813371
5.606764	0.820952
5.383426	0.868021
5.207472	0.884447
4.997402	0.825375
4.794598	0.785256
4.595583	0.751139
4.397202	0.754298
4.186499	0.792206
4.006123	0.794417
3.787840	0.743558
