# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000


## End Configuration ##
#: Wed Apr 12 18:22:22 2017
4.784173	0.666480
-8.876204	-4.619748
-8.899261	-4.583109
-8.901472	-4.568895
-8.880626	-4.577107
-8.845566	-4.594796
-8.835774	-4.587531
-8.797873	-4.561946
-8.614992	-4.465611
-8.418530	-4.402124
-8.223017	-4.347481
-8.013921	-4.317475
-7.816196	-4.251146
-7.617839	-4.181973
-7.414429	-4.077110
-7.221442	-3.997830
-7.013610	-3.946346
-6.818727	-3.890440
-6.616580	-3.834218
-6.416960	-3.755570
-6.216709	-3.662709
-6.013299	-3.581850
-5.819995	-3.536367
-5.615005	-3.483935
-5.420755	-3.417290
-5.216713	-3.336115
-5.013935	-3.242622
-4.819052	-3.167765
-4.619748	-3.115333
-4.417285	-3.063217
-4.219876	-2.996571
-4.017097	-2.911922
-3.816846	-2.826642
-3.612172	-2.747678
-3.420448	-2.676611
-3.217670	-2.618494
-3.017102	-2.564482
-2.813692	-2.473832
-2.609650	-2.374970
-2.412872	-2.300112
-2.218937	-2.231572
-2.013316	-2.165558
-1.816539	-2.103335
-1.617550	-2.000682
-1.414456	-1.912559
-1.216099	-1.835806
-1.014584	-1.748630
-0.818754	-1.674720
-0.617871	-1.572067
-0.419830	-1.427406
-0.209787	-1.251791
-0.013641	-1.012689
0.184739	-0.736000
0.382174	-0.437518
0.584347	-0.151669
0.780518	0.072597
0.981111	0.229281
1.181705	0.343319
1.384825	0.420713
1.574994	0.447880
1.781590	0.475363
1.983131	0.519904
2.187515	0.545176
2.383370	0.584347
2.588701	0.590349
2.783925	0.577081
2.984518	0.595403
3.182269	0.632679
3.380019	0.652580
3.580928	0.683222
3.786260	0.684801
3.991592	0.669007
4.183024	0.671218
4.382039	0.726184
4.582948	0.748612
4.785437	0.785572
4.986030	0.765039
5.193573	0.727763
5.381846	0.732818
5.580229	0.782413
5.783033	0.834220
5.985522	0.844644
6.182957	0.809896
6.384814	0.771357
6.588882	0.773568
6.777155	0.837379
6.982487	0.881604
7.185608	0.895819
7.385254	0.851910
7.583004	0.791890
7.788020	0.814950
7.983243	0.892976
8.182257	0.947626
8.382851	0.934359
8.585024	0.884447
8.787196	0.815266
8.985579	0.858228
9.183013	0.942572
9.379816	0.971634
9.583568	0.943520
9.784793	0.905928
9.978753	0.830429
9.781950	0.880025
9.581988	0.958998
9.382343	0.961526
9.181749	0.929620
8.983684	0.856333
8.786249	0.817477
8.585340	0.869916
8.382535	0.935306
8.188891	0.922986
7.981980	0.901506
7.785177	0.819689
7.584899	0.792206
7.384306	0.845592
7.184029	0.892660
6.984383	0.881288
6.779367	0.841170
6.588250	0.777359
6.387657	0.749876
6.185484	0.801683
5.982048	0.844013
5.783665	0.823479
5.584335	0.773252
5.378688	0.730290
5.185360	0.729027
4.986662	0.759037
4.784805	0.776095
4.580737	0.749876
4.382670	0.709757
4.183341	0.682274
3.984010	0.663952
3.782785	0.690172
3.585351	0.691119
3.385073	0.643103
3.183532	0.619095
2.982939	0.598562
2.787084	0.573606
2.585543	0.586558
2.384633	0.574870
2.188147	0.520852
1.983762	0.505689
1.780958	0.483260
1.585103	0.427979
1.390511	0.425767
1.183284	0.349637
0.985850	0.241285
0.779254	0.079546
0.583715	-0.128612
0.382490	-0.404669
0.182212	-0.717049
-0.015852	-1.012689
-0.214524	-1.260319
